Label	Replace by
Society of Instrument and Control Engneers (SICE)	SICE
Sokolov, DV	Sokolov, D.V.
Solis, F.D.	Solis, F.D.B.
Solis, F.D.B.	Solis, F.D.B.
Song, H.	Song, H.
Srinivasan, R	Srinivasan, R.
Srinivasan, R.	Srinivasan, R.
Srinivasan, Rajagopalan	Srinivasan, R.
Stennikov, VA	Stennikov, V.A.
Stile, Z.	Stile, Z.
Stoeglehner, Gernot	Stoeglehner, G.
Sunarso, J.	Sunarso, J.
Sule, Jz.	Süle, Z.
Sule, Z	Süle, Z.
Sule, Z	Süle, Z.
Sule, Z.	Süle, Z.
Süle, Z.	Süle, Z.
Süle, Z.	Süle, Z.
Süle, Zoltán	Süle, Z.
Süle, Zoltán	Süle, Z.
Sy, C.L.	Sy, C.L.
Szlama, A.	Szlama, A.
Szlama, A.	Szlama, A.
Szlama, Adrián	Szlama, A.
Tan, H.S.	Tan, H.S.
Tan, J.X.	Tan, J.X.
Tan, J.X.	Tan, J.X.
Tan, R	Tan, R.R.
Tan, R.R.	Tan, R.R.
Tan, R.R.	Tan, R.R.
Tan, Raymond R.	Tan, R.R.
Tan, Raymond R.	Tan, R.R.
Tan, RR	Tan, R.R.
Tan, T.K.	Tan, T.K.
Tang, J.P.	Tang, J.P.
Tanzil, A.H.	Tanzil, A.H.
Tapia, John Frederick D.	Tapia, J.F.D.
Tarjan, K.	Tarján, K.
Tarján, K.	Tarján, K.
Tay, Z.X.	Tay, Z.X.
Teh, W.H.	Teh, W.H.
Teng, S.Y.	Teng, S.Y.
Tick, A	Tick, A.
Tick, J	Tick, J.
Tick, J	Tick, J.
Tick, J.	Tick, J.
Tick, J.	Tick, J.
Tick, József	Tick, J.
Tominac, Philip	Tominac, P.
Tomoz, H	Tomoz, H.
Tseng, M.-L.	Tseng, M.-L.
Tsibulsky, S.	Tsibulsky, S.
Ubando, A.T.	Ubando, A.T.
Ubando, AT	Ubando, A.T.
UNESCO Venice Office Regional Bureau Sci. Culture Europe	UNESCO
Vance, L.	Vance, L.
Vance, Leisha	Vance, L.
Varbanov, P	Varbanov, P.S.
Varbanov, P.	Varbanov, P.S.
Varbanov, P.	Varbanov, P.S.
Varbanov, P.S.	Varbanov, P.S.
Varbanov, P.S.	Varbanov, P.S.
Varbanov, Petar Sabev	Varbanov, P.S.
Varbanov, Petar Sabev	Varbanov, P.S.
Varbanov, PS	Varbanov, P.S.
Varga, J. B.	Varga, J.B.
Varga, V.	Varga, V.
Vathy-Fogarassy, A	Vathy-Fogarassy, A.
Ventura, J.-R.S.	Ventura, J.R.S.
Voll, P.	Voll, P.
Voll, Philip	Voll, P.
Walmsley, M.R.W.	Walmsley, M.R.W.
Walmsley, T.	Walmsley, T.G.
Walmsley, T.G.	Walmsley, T.G.
Walmsley, T.G.	Walmsley, T.G.
Walmsley, Timothy Gordon	Walmsley, T.G.
Wan Ab Karim Ghani, W. A.	Ghani, W.A.W.A.K.
Wang, BH	Wang, BH.
Wang, Y	Wang, Y.
Wang, Y.	Wang, Y.
Xiao, W.	Xiao, W.
Xu, Weiyu	Xu, W.
Xu, X.	Xu, X.
Yang, Y.	Yang, Y.
Yenkie, K.M.	Yenkie, K.M.
Yenkie, K.M.	Yenkie, K.M.
Yenkie, KM	Yenkie, K.M.
Yeo, J.Y.J.	Yeo, J.Y.J.
Yeoh, T.T.	Yeoh, T.T.
Yong, J.Y.	Yong, J.Y.
Yoo, C.	Yoo, C.K.
Yoo, C.K.	Yoo, C.K.
Yoo, ChangKyoo	Yoo, C.K.
Yu, K.D.	Yu, K.D.S.
Yu, K.D.S.	Yu, K.D.S.
Yun, C.	Yun, C.
Yun, C.	Yun, C.
Yun, Choamun	Yun, C.
Yusup, S.	Yusup, S.
Zachhuber, C	Zachhuber, C.
Zavala, Victor M.	Zavala, V.M.
Zhang, T	Zhang, T.
Zhang, T.	Zhang, T.
Zhang, T.	Zhang, T.
Zhang, Tengyan	Zhang, T.
Zhang, Weiqi	Zhang, W.
Zhang, Y.	Zhang, Y.
Zhu, C.	Zhu, C.
Zhu, Q.	Zhu, Q.X.
Zhu, Q.-X.	Zhu, Q.X.
Zhu, QunXiong	Zhu, Q.X.
et al.	
